SN,YEAR,QTR,MONTH,PROJECT_CODE,PROJECT_NAME,ACCOUNT_NAME,PRACTICE_AREA,BU,B_ TYPE,REGION_COUNTRY,ENTITY_INDIA_US,TOTAL_RESOURCES,TOTAL_REVENUE,TOTAL_DIRECT_COST,NET_MARGIN,EBIDTA
1,2022-23,Q1,04/22/24,SP100154,Software Products- PMB-Solace Agent for ITRS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.00,,
2,2022-23,Q1,04/23/24,SS300261,Software Service - PMB- Contract Note generation module,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,7.30,,7.72,-7.72,-8.04
3,2022-23,Q1,04/24/24,SS300292,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.25,2.75,2.51,0.24,0.19
4,2022-23,Q1,04/25/24,SS300295,Software Service - PMB- Contract Generation AMC Support ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,5.95,4.38,8.40,-4.02,-4.28
5,2022-23,Q1,04/26/24,SS300299,Software Service - PMB-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,0.13,5.52,0.20,5.32,5.31
6,2022-23,Q1,04/27/24,SS300309,Software Service-PMB-IFSC Website ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,0.07,,0.19,-0.19,-0.19
7,2022-23,Q1,04/28/24,SS300318,Software Service -PMB-STP Support HUB,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.20,2.75,1.49,1.26,1.17
8,2022-23,Q1,04/29/24,SS300325,Software Service -PMB-Bank Integration API,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.00,,0.77,-0.77,-0.82
9,2022-23,Q1,04/30/24,SS300326,Software Service -PMB-Trading Member Integration API,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.25,,1.16,-1.16,-1.21
10,2022-23,Q1,05/01/24,SS300327,Software Service -PMB-XBRL - BRSR,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,8.00,-8.00,-8.00
11,2022-23,Q1,05/02/24,SS300330,Software Service -PMB-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,6.71,0.00,6.71,6.71
12,2022-23,Q1,05/03/24,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,2.91,1.69,1.22,1.13
13,2022-23,Q1,05/04/24,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.00,28.74,3.43,25.31,25.13
14,2022-23,Q1,05/05/24,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.00,5.41,3.43,1.98,1.80
15,2022-23,Q1,05/06/24,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,20.84,7.85,22.13,-14.28,-15.22
16,2022-23,Q1,05/07/24,RP300009,RPA - Automation (24 Process ) - PMB,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.00,,1.32,-1.32,-1.41
17,2022-23,Q1,05/08/24,RP300013,RPA - Automation -LIB,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,9.50,,8.50,-8.50,-8.93
18,2022-23,Q1,05/09/24,RP400001,RPA - PMB - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.00,2.27,0.61,1.66,1.57
19,2022-23,Q1,05/10/24,RP400011,RPA - LIB -T&M,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,6.27,2.21,2.01,0.20,-0.08
20,2022-23,Q1,05/11/24,SS300252,Software Services - KRA Dashboard - CPMS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.00,1.23,0.00,1.23,1.18
21,2022-23,Q1,05/12/24,SS300262,Software Service - PMB- Document Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
22,2022-23,Q1,05/13/24,SS300283,Software Services - PMB - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,0.10,1.00,0.27,0.73,0.73
23,2022-23,Q1,05/14/24,SS300301,Software Service -PMB Vendor Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,0.42,0.00,0.42,0.42
24,2022-23,Q1,05/15/24,SS300305,Software Service -PMB-DMS-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
25,2022-23,Q1,05/16/24,SS300308,Software Service-PMB-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,3.40,2.33,2.09,0.24,0.09
